Audio driver choosen: ALSA
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 40 Gems removed: 6
Score: 10 Gems removed: 3
Score: 40 Gems removed: 6
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 20 Gems removed: 4
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 40 Gems removed: 6
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
Score: 10 Gems removed: 3
